"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,131748432,24195950
2019,9,131748442,24199976
2019,2,131748447,24199978
2019,12,131748448,24191391
2019,12,131752341,24199986
2019,18,131752348,24199988
2019,12,131757022,24195964
2019,12,131752370,24199997
2019,12,131752376,24200000
2019,12,131752385,24200002
2019,12,131752399,24200006
2019,12,131752425,24200015
2019,12,131757129,24200024
2019,12,131752458,24200030
2019,3,131757197,24196014
2019,3,131752496,24200040
2019,12,131752505,24200044
2019,2,131752508,24200046
2019,12,131748749,24191478
2019,12,131752523,24200054
2019,12,131752448,24200023
2019,12,131748701,24191466
2019,20,136131509,25319471
2019,12,136130138,25323255
2019,3,136130140,25323257
2019,12,136125061,25314239
2019,12,136131535,25319485
2019,12,136131552,25323274
2019,12,136130180,25323275
2019,3,136125076,25323281
2019,12,136130187,25323280
2019,19,136131571,25319496
2019,12,136130209,25323290
2019,12,136130206,25323288
2019,12,136131589,25319503
2019,20,136131603,25319508
2019,12,136130259,25319514
2019,12,136131637,25319516
2019,12,136130264,25323310
2019,12,136130270,25319521
2019,9,136130280,25323316
2019,9,136130309,25323331
2019,12,136130333,25323341
2019,3,136131725,25319541
2019,12,136125188,25323348
2019,18,136131766,25319550
2019,12,136131766,25319551
2019,20,136131780,25319559
2019,12,136130394,25323365
2019,12,136130429,25323376
2019,10,136131834,25319575
2019,11,136131852,25314306
2019,12,136125379,25314361
2019,12,136130656,25323460
2019,9,136125396,25319647
2019,22,131756912,24195918
2019,2,131756914,24195919
2019,12,131752282,24199968
2019,12,131756918,24195921
2019,12,131756923,24195923
2019,12,131756928,24195927
2019,18,131756933,24195931
2019,19,131756937,24195934
2019,12,131756936,24195933
2019,19,131756940,24191366
2019,12,131756942,24195935
2019,12,131756946,24191369
2019,12,131756954,24191372
2019,12,131756960,24195939
2019,12,131756967,24195943
2019,12,131756969,24195944
2019,2,131756986,24195949
2019,12,131756988,24195952
2019,22,131752300,24199975
2019,12,131748443,24191388
2019,12,131756991,24195953
2019,12,131756996,24195956
2019,12,131752310,24199979
2019,12,131748488,24191402
2019,22,131757027,24195967
2019,12,131757052,24195972
2019,18,131757054,24195974
2019,12,131752420,24200011
2019,12,131757095,24195986
2019,9,131757093,24195985
2019,12,131757104,24195989
2019,12,131752441,24200020
2019,20,131757123,24195991
2019,2,131757138,24195996
2019,12,131757143,24195998
2019,11,131748645,24191448
2019,18,131757151,24196003
2019,12,131757185,24196012
2019,12,136130172,25314246
2019,12,136130186,25323279
2019,12,136131688,25323321
2019,12,136131691,25323325
2019,12,143125872,27880266
2019,3,143135533,27880274
2019,22,143135563,27886832
2019,12,143136525,27891811
2019,9,143135564,27886833
2019,12,143135570,27886837
2019,18,143135577,27886839
2019,12,143136544,27891822
2019,22,143135585,27886842
2019,9,143135591,27886844
2019,12,143135606,27886852
2019,18,143135608,27886854
2019,2,143135609,27886855
2019,12,143135613,27886856
2019,12,143135622,27886859
2019,12,143135623,27886860
2019,12,143135630,27886863
2019,12,143135632,27886864
2019,12,143135633,27886865
2019,12,143135636,27886867
2019,12,143135645,27886871
2019,12,143135647,27886873
2019,12,143135652,27886876
2019,12,143135655,27886878
2019,18,143135657,27886879
2019,12,143135662,27886881
2019,12,143135680,27886887
2019,12,143135684,27886889
2019,12,143135685,27886890
2019,18,143135687,27886891
2019,12,143135691,27886893
2019,6,143125985,27880305
2019,20,143135712,27886897
2019,12,143135713,27886898
2019,21,143135716,27886899
2019,20,143135718,27886900
2019,12,143135722,27886902
2019,12,143135721,27886901
2019,12,143135723,27886903
2019,12,143135725,27886904
2019,12,143135727,27886905
2019,12,143135729,27886906
2019,3,143135730,27886907
2019,12,143135733,27886909
2019,18,143135736,27886910
2019,12,143126014,27880313
2019,12,143135744,27886911
2019,12,143135754,27886912
2019,22,143135769,27886914
2019,12,143135770,27886915
2019,12,143135773,27886916
2019,12,143135774,27886917
2019,12,143135775,27886918
2019,9,143135776,27886919
2019,20,143135778,27886920
2019,12,143135785,27886921
2019,18,143135788,27886922
2019,12,143135797,27886923
2019,9,143135798,27886924
2019,12,143135800,27886926
2019,12,143135799,27886925
2019,9,143135801,27886927
2019,12,143135808,27886928
2019,20,143135810,27886929
2019,2,143135812,27886930
2019,19,143135815,27886931
2019,12,143135818,27886932
2019,3,143135819,27886933
2019,12,143135822,27886934
2019,12,143135823,27886935
2019,3,143135824,27886936
2019,12,143135828,27886939
2019,12,143135829,27886940
2019,12,143135831,27886942
2019,12,143135832,27886943
2019,3,143135834,27886944
2019,12,143135837,27886945
2019,12,143135838,27886946
2019,12,143135839,27886947
2019,12,143135843,27886948
2019,22,143135844,27886949
2019,12,146756459,29087271
2019,12,146745379,29084792
2019,12,146745383,29084794
2019,12,146745391,29084795
2019,12,146745399,29084796
2019,22,146745402,29084797
2019,12,146745403,29084798
2019,12,146745404,29084799
2019,18,146745409,29084800
2019,22,146745411,29084801
2019,12,146745412,29084802
2019,18,146745424,29084803
2019,18,146745427,29084804
2019,12,146745432,29084805
2019,18,146745438,29084806
2019,22,146745440,29084807
2019,12,146745441,29084808
2019,12,146745443,29084809
2019,12,146745445,29084810
2019,12,146745505,29084811
2019,12,146745140,29084713
2019,18,146745141,29084714
2019,12,146745142,29084715
2019,12,146745148,29084716
2019,12,146745151,29084717
2019,12,146745152,29084718
2019,23,146745154,29084719
2019,12,146745157,29084720
2019,12,146745168,29084721
2019,12,146745170,29084722
2019,12,146745171,29084723
2019,12,146745176,29084724
2019,12,146745179,29084725
2019,12,146745183,29084726
2019,9,146745184,29084727
2019,12,146745185,29084728
2019,12,146745188,29084730
2019,12,146745187,29084729
2019,12,146745193,29084731
2019,12,146745194,29084732
2019,18,146745200,29084733
2019,12,146745202,29084734
2019,12,146745203,29084735
2019,22,146745208,29084736
2019,12,146745209,29084737
2019,12,146745212,29084739
2019,12,146745220,29084740
2019,22,146745222,29084741
2019,12,146745223,29084742
2019,22,146745225,29084743
2019,18,146745226,29084744
2019,12,146745232,29084745
2019,12,146745242,29084747
2019,12,146745244,29084748
2019,12,146745245,29084749
2019,20,146745246,29084750
2019,12,146745247,29084751
2019,20,146745249,29084752
2019,12,146756191,29087172
2019,12,146745250,29084753
2019,22,146745251,29084754
2019,12,146745255,29084755
2019,12,146756192,29087173
2019,12,146745260,29084756
2019,3,146745265,29084757
2019,12,146745268,29084758
2019,20,146745269,29084759
2019,20,146745282,29084760
2019,12,146745285,29084761
2019,12,146745293,29084762
2019,12,146745296,29084763
2019,18,146745297,29084764
2019,12,146745299,29084765
2019,12,146745303,29084766
2019,12,146745304,29084767
2019,12,146745305,29084768
