"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,122696139,136131963
2019,122696148,136125353
2019,122692589,136125353
2019,122692590,136125353
2019,122692588,136125353
2019,122692587,136125353
2019,122689608,136131977
2019,122696164,136125370
2019,122692613,136125375
2019,122696171,136130648
2019,122696171,136130647
2019,122696172,136132000
2019,122696172,136131998
2019,122692647,136130670
2019,122696216,136132064
2019,122696216,136130689
2019,122696223,136130698
2019,122689690,136130707
2019,122696247,136125438
2019,122692698,136125448
2019,122692709,136132122
2019,122696266,136132130
2019,122692744,136125496
2019,122692744,136125498
2019,122696299,136125506
2019,122689794,136125535
2019,122689802,136130804
2019,122689802,136125538
2019,122696336,136125552
2019,122692786,136130830
2019,122696345,136130838
2019,122689840,136132229
2019,122696363,136125576
2019,122696373,136130869
2019,122696373,136132255
2019,122689897,136130892
2019,122692852,136130912
2019,122689928,136132315
2019,122692881,136132332
2019,122692898,136130968
2019,122696462,136131001
2019,129256331,143136501
2019,129258231,143125898
2019,129256340,143136512
2019,129256345,143136517
2019,129256347,143136519
2019,129256347,143136520
2019,129256351,143136524
2019,129256353,143136532
2019,129256353,143136533
2019,129256357,143136534
2019,129256360,143136534
2019,129256359,143136534
2019,129256354,143125944
2019,129256356,143136534
2019,129256358,143136534
2019,129256355,143136534
2019,129256361,143135567
2019,129256362,143125947
2019,129256362,143136535
2019,129256364,143136537
2019,129256365,143136539
2019,129263290,143135582
2019,129263289,143135582
2019,129256375,143136547
2019,129256381,143136552
2019,129256325,143125874
2019,129256326,143125876
2019,129256325,143125876
2019,129256325,143125875
2019,129256326,143125875
2019,129256312,143136478
2019,130242154,144125027
2019,130249639,144127720
2019,130249644,144125031
2019,130249644,144125032
2019,130249647,144127723
2019,130249645,144127723
2019,129256323,143136492
2019,129256323,143136491
2019,129258229,143136504
2019,130249663,144127735
2019,130249666,144120668
2019,130249668,144127739
2019,130242185,144125053
2019,130249674,144127742
2019,130249676,144125073
2019,130249677,144127746
2019,130242208,144125082
2019,130242208,144125083
2019,130249683,144125115
2019,130249682,144125114
2019,130249684,144120677
2019,130249685,144127752
2019,130249686,144127754
2019,130249687,144127754
2019,130249689,144127756
2019,130249690,144127762
2019,130247495,144120625
2019,130249646,144127724
2019,129258215,143136497
2019,129256335,143136503
2019,129256336,143136508
2019,129256338,143136510
2019,129256341,143125929
2019,129256343,143136515
2019,129258260,143125937
2019,129256346,143136518
2019,129256350,143136523
2019,129256352,143136529
2019,129256352,143136531
2019,129256352,143136530
2019,129256363,143136536
2019,129256374,143136546
2019,129256373,143136546
2019,129256376,143136548
2019,129256377,143136549
2019,134456724,148256182
2019,134462909,148246302
2019,134462910,148246302
2019,134462907,148256183
2019,130249634,144120637
2019,130249636,144120637
2019,130249634,144127717
2019,130249634,144120638
2019,130249635,144127717
2019,130249637,144120637
2019,130249635,144120637
2019,130242176,144125043
2019,130242180,144120667
2019,130249667,144125047
2019,130242178,144120667
2019,130242179,144120667
2019,129256382,143136553
2019,129263538,143135845
2019,129256383,143136555
2019,129256385,143136554
2019,129256384,143136556
2019,129256385,143136556
2019,129256386,143136554
2019,129256387,143136557
2019,129256388,143136558
2019,129256389,143136559
2019,129256390,143136560
2019,129256391,143136561
2019,129256394,143136564
2019,129256395,143136565
2019,129256396,143136566
2019,129256397,143136566
2019,129256398,143136567
2019,129256399,143136569
2019,129256399,143136568
2019,129256400,143136570
2019,129256400,143136571
2019,129256401,143136572
2019,129256402,143136573
2019,129256403,143136574
2019,129256404,143136575
2019,129256405,143136576
2019,129256406,143136576
2019,129256407,143136577
2019,129256408,143136578
2019,129256409,143136579
2019,129256410,143136580
2019,129256411,143136581
2019,129256412,143136582
2019,129256413,143136583
2019,129256414,143136584
2019,129256416,143136586
2019,129256417,143136587
2019,129256418,143136588
2019,129256419,143136590
2019,129256419,143136589
2019,129256420,143136591
2019,129256421,143136592
2019,129256422,143136593
2019,129256422,143136594
2019,129256423,143136595
2019,129256424,143136596
2019,129256425,143136597
2019,129256426,143136598
2019,129256426,143136599
2019,129256427,143136600
2019,129256428,143136601
2019,129256429,143136602
2019,129256430,143136603
2019,129256431,143136604
2019,129256432,143136604
2019,129256433,143136605
2019,129256434,143136606
2019,129256435,143136607
2019,129256436,143136608
2019,129256437,143136609
2019,129256438,143136610
2019,129256439,143136611
2019,129256440,143136612
2019,129256441,143136615
2019,129256442,143136613
2019,129256441,143136614
2019,129256441,143136613
2019,129256443,143136616
2019,129256444,143136617
2019,129256445,143136618
2019,129256446,143136620
2019,129256447,143136620
2019,129256446,143136619
2019,129256447,143136619
2019,129256448,143136621
2019,129256449,143136622
2019,129256450,143136623
2019,129256450,143136624
2019,129256451,143136625
2019,129256452,143136626
2019,129256453,143136627
2019,129256454,143136628
2019,129256454,143136629
2019,129256465,143136630
2019,129256457,143136630
2019,129256459,143136630
2019,129256456,143136630
2019,129256455,143136630
2019,129256462,143136630
2019,129256464,143136630
2019,129256461,143136630
2019,129256457,143136631
2019,129256466,143136630
2019,129256460,143136630
2019,129256458,143136631
2019,129256458,143136630
2019,129256463,143136630
2019,129256464,143136631
2019,129256467,143136633
2019,129256467,143136632
2019,129256468,143136634
2019,129256469,143136635
2019,129256470,143136636
2019,129256471,143136637
2019,129256472,143136638
2019,129256473,143136639
2019,129256473,143136640
2019,129256474,143136641
2019,129256475,143136642
2019,129256476,143136643
2019,129256476,143136644
2019,129256477,143136645
2019,129256479,143136646
2019,129256478,143136646
2019,129256480,143136647
2019,129256480,143136648
2019,129256481,143136649
2019,129256482,143136650
2019,129256483,143136651
2019,129256484,143136652
2019,129256485,143136653
2019,129256486,143136654
2019,129256489,143136655
2019,129256488,143136656
2019,129256487,143136656
2019,129256490,143136657
2019,129256491,143136658
2019,129256492,143136659
2019,129256492,143136660
2019,129256493,143136661
2019,129256493,143136662
2019,129256495,143136663
2019,129256496,143136663
2019,129256494,143136664
2019,129256497,143136663
2019,129256498,143136667
2019,129256498,143136665
2019,129256498,143136666
2019,129256499,143136668
2019,129256500,143136669
2019,129256504,143136673
2019,129256505,143136674
2019,129256506,143136676
2019,129256506,143136675
2019,129256507,143136675
2019,129256508,143136677
2019,129256509,143136678
2019,129256510,143136680
2019,129256511,143136679
2019,129256512,143136681
2019,129256513,143136682
2019,129256514,143136683
2019,129256515,143136684
2019,129256516,143136685
2019,129256517,143136686
2019,129256518,143136687
2019,129256521,143136688
2019,129256520,143136688
2019,129256522,143136688
2019,129256519,143136688
2019,129256519,143136689
2019,129256523,143136690
2019,129256524,143136691
2019,129256525,143136691
2019,129256526,143136692
2019,129256527,143136693
2019,129256528,143136694
2019,129256529,143136695
2019,129256530,143136696
2019,129256531,143136697
2019,129256533,143136698
2019,129256532,143136698
2019,129256534,143136699
2019,129256535,143136700
2019,129256536,143136701
2019,129256537,143136702
2019,129256538,143136703
2019,129256539,143136704
2019,129256540,143136705
2019,129256542,143136707
2019,129256543,143136708
2019,129256544,143136710
2019,129256544,143136709
2019,129256545,143136711
2019,129256546,143136711
2019,129256547,143136712
2019,129256548,143136713
2019,129256549,143136714
2019,129256551,143136717
2019,129256551,143136716
2019,129256552,143136718
2019,129256553,143136719
2019,129256556,143136722
2019,129256557,143136723
