"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37093338,1,37398860
2019,33184234,1,33213230
2019,33189074,1,33208989
2019,33189091,1,33209007
2019,33189112,1,33213294
2019,33189122,1,33209041
2019,33189132,1,33209053
2019,33189156,1,33209071
2019,33184246,1,33213242
2019,33184253,1,33208993
2019,33184255,1,33203726
2019,33182304,1,33208995
2019,33182319,1,33213264
2019,33189094,1,33209013
2019,33182326,1,33203745
2019,33184269,1,33213267
2019,33184268,1,33209014
2019,33184305,1,33213309
2019,33184314,1,33213317
2019,33189153,1,33209068
2019,33184416,1,33209128
2019,33189221,1,33203863
2019,33184444,1,33203884
2019,33184452,1,33213452
2019,33184471,1,33209180
2019,33184475,1,33209186
2019,33182516,1,33203940
2019,33182309,1,33203731
2019,33189084,1,33209000
2019,33182315,1,33213261
2019,33189100,1,33203751
2019,33182348,1,33203759
2019,33184309,1,33213313
2019,33189138,1,33209059
2019,33184321,1,33209067
2019,33189213,1,33209124
2019,33182447,1,33203867
2019,33182461,1,33213444
2019,33189268,1,33203902
2019,33189291,1,33213492
2019,33182498,1,33203919
2019,33182510,1,33203933
2019,33184233,1,33213229
2019,33184242,1,33213238
2019,33182298,1,33203722
2019,33182299,1,33203723
2019,33184248,1,33213244
2019,33182306,1,33203728
2019,33182310,1,33203733
2019,33184260,1,33209001
2019,33189087,1,33209003
2019,33184262,1,33213260
2019,33184265,1,33213265
2019,33189095,1,33203743
2019,33182324,1,33203742
2019,33184271,1,33209015
2019,33182331,1,33203748
2019,33189102,1,33209022
2019,33182337,1,33209028
2019,33189106,1,33213284
2019,33184288,1,33213288
2019,33182342,1,33203756
2019,33184290,1,33213291
2019,33189116,1,33209037
2019,33189115,1,33209036
2019,33189118,1,33213297
2019,33189120,1,33209040
2019,33184294,1,33203758
2019,33184298,1,33213302
2019,33189125,1,33209047
2019,33184299,1,33209046
2019,33184300,1,33203762
2019,33189129,1,33209051
2019,33184304,1,33213306
2019,33182352,1,33213308
2019,33182353,1,33203765
2019,33189134,1,33209054
2019,33184311,1,33209055
2019,33184313,1,33213316
2019,33182357,1,33203772
2019,33184318,1,33213322
2019,33189151,1,33213324
2019,33184322,1,33213326
2019,33184329,1,33213333
2019,33182363,1,33213336
2019,33182364,1,33203781
2019,33189163,6,33203784
2019,33182368,1,33203785
2019,31981012,1,32007250
2019,31971329,1,32007251
2019,31971389,1,32011376
2019,31975232,1,32011379
2019,31975234,1,32007301
2019,33184244,1,33213240
2019,33182301,1,33213250
2019,33189080,1,33208997
2019,33184258,1,33203735
2019,33182313,1,33203736
2019,33182316,1,33213262
2019,33182322,1,33203741
2019,33189096,1,33213269
2019,33182330,1,33213272
2019,31971325,1,32002685
2019,31971328,1,32011342
2019,31975200,1,32011349
2019,31975202,1,32011350
2019,31971341,1,32002700
2019,31971342,1,32002701
2019,31975204,1,32002705
2019,31981022,1,32007259
2019,31975205,1,32011352
2019,31971346,1,32002708
2019,31975210,1,32011357
2019,31975220,1,32011367
2019,31971375,1,32007271
2019,31971376,1,32002736
2019,31975222,1,32011369
2019,31975230,1,32011377
2019,31971391,1,32002752
2019,31971405,1,32002764
2019,31975238,1,32011386
2019,33182416,1,33203836
2019,33182427,1,33203846
2019,33182444,1,33203862
2019,33189243,1,33209156
2019,33184453,1,33209162
2019,33184457,1,33203897
2019,33182476,1,33213466
2019,33189274,1,33209183
2019,33182512,1,33213499
2019,31975199,1,32011348
2019,31971339,1,32002698
2019,31981018,1,32007256
2019,31975209,1,32011356
2019,31975214,1,32011361
2019,31975215,1,32011362
2019,31975216,1,32011364
2019,31975217,1,32011365
2019,31971369,1,32002730
2019,31971368,1,32002729
2019,31975223,1,32011370
2019,31975229,1,32007292
2019,31975237,1,32011385
2019,31975241,1,32002778
2019,33184257,1,33213255
2019,33189098,1,33209017
2019,33184274,1,33213274
2019,33189143,1,33209061
2019,33184319,1,33213323
2019,31975190,1,32011336
2019,31981011,1,32007249
2019,31971326,1,32011341
2019,31975195,1,32011344
2019,31975196,1,32011345
2019,31975197,1,32011346
2019,31971331,1,32007252
2019,33182411,1,33213406
2019,33182419,1,33203840
2019,33182425,1,33203845
2019,33189253,1,33213454
2019,33189257,1,33209164
2019,33184456,1,33209165
2019,33189290,1,33209195
2019,33184500,1,33213503
2019,31975198,1,32011347
2019,31971332,1,32002690
2019,31971345,1,32002706
2019,31975208,1,32011355
2019,31975212,1,32011359
2019,31975213,1,32011360
2019,31975211,1,32011358
2019,31971348,1,32002710
2019,31971394,1,32002754
2019,31975231,1,32011378
2019,31971404,1,32002763
2019,31981075,1,32011392
2019,36553077,1,36713848
2019,36544486,1,36724971
2019,36564508,1,36724993
2019,36553091,1,36713862
2019,36553092,1,36713863
2019,36553093,1,36713864
2019,36553094,1,36713865
2019,31980997,1,32007237
2019,31975194,1,32002687
2019,31975218,1,32011366
2019,31971363,1,32002724
2019,31975224,1,32011371
2019,31981048,1,32007285
2019,31971388,1,32002750
2019,31981055,1,32007291
2019,31981056,1,32011380
2019,31971398,1,32002758
2019,31981059,1,32007296
2019,31981061,1,32007299
2019,31971409,1,32002767
2019,31981068,1,32002779
2019,31975245,1,32011393
2019,31981076,1,32007316
2019,31971426,1,32002783
2019,33184235,1,33213231
2019,33182314,1,33203737
2019,33182318,1,33203739
2019,33182323,1,33209011
2019,33189099,1,33203750
2019,33182349,1,33209048
2019,33189126,1,33203760
2019,33189148,1,33203773
2019,33189152,1,33209066
2019,33182359,1,33203776
2019,33184331,1,33213335
2019,33184335,1,33213342
2019,33182329,1,33203747
2019,33184332,1,33213340
2019,33189249,1,33209158
2019,33189261,1,33209169
2019,33182490,1,33209189
2019,33189288,1,33209193
2019,33182506,1,33203927
2019,33189301,1,33209210
2019,33184236,1,33213232
2019,33184238,1,33213234
2019,33189078,1,33213251
2019,33182317,1,33213263
2019,33184284,1,33213282
2019,33189104,1,33213283
2019,33189117,1,33213296
2019,33189124,1,33209045
2019,33184297,1,33209044
2019,33189133,1,33213307
2019,33184307,1,33213312
2019,33189149,1,33209065
2019,33182409,1,33203829
2019,33184405,1,33213411
2019,33184406,2,33213412
2019,33184421,1,33213428
2019,33189225,1,33213430
2019,33184428,1,33209144
2019,33184439,1,33213441
2019,33189245,1,33203885
2019,33184445,1,33209155
2019,33189255,1,33203896
2019,33184466,1,33209178
2019,33189289,1,33209194
2019,33184486,1,33213494
2019,33189292,1,33203922
2019,33184493,1,33213498
2019,33184440,1,33209151
2019,33182458,1,33203881
2019,33189240,1,33209152
2019,33189242,1,33209154
2019,33189279,1,33209187
2019,33189296,1,33203926
2019,33189308,1,33209215
2019,33184411,1,33213416
2019,33189236,1,33213437
2019,33184447,1,33213448
2019,33182463,1,33203888
2019,33184449,1,33213449
2019,33189264,1,33209171
2019,33184472,1,33209181
2019,33182489,1,33213481
2019,33182500,3,33209196
2019,33189304,1,33209214
2019,33182435,1,33213423
2019,33184434,1,33213435
2019,33184467,1,33213474
2019,33189275,1,33203907
2019,33189280,1,33209188
2019,33184482,1,33203920
2019,33184494,1,33209209
2019,33189306,1,33203935
2019,33184502,1,33213505
2019,33184266,1,33213266
2019,33182332,1,33203749
2019,33184291,1,33213292
2019,33184317,1,33203770
2019,33189144,1,33209062
2019,33182362,1,33213331
2019,33182367,1,33209074
2019,33182366,1,33213339
2019,33184408,7,33213414
2019,33184436,1,33213438
2019,33182464,1,33203889
2019,33189260,1,33209168
2019,33184481,1,33213490
2019,33184488,1,33209205
2019,33182420,1,33213410
2019,33182421,1,33203841
2019,33184409,1,33213415
2019,33189217,1,33213425
2019,33184425,1,33203872
2019,33182462,1,33203887
2019,33182474,1,33213463
2019,33189269,1,33209176
2019,33184485,1,33209201
2019,33189299,1,33203931
2019,36247341,1,36400795
2019,36247345,1,36400799
2019,36247349,1,36400803
2019,36255113,1,36405653
2019,36255132,1,36405671
2019,36247357,1,36400813
2019,36247359,1,36405677
2019,36255151,1,36405692
2019,36255153,1,36405694
2019,36247360,1,36400815
2019,36253774,1,36399048
2019,36253776,1,36399050
2019,36255179,1,36405720
2019,36255181,1,36405722
2019,36255180,1,36405721
2019,36247365,1,36400821
2019,36255197,1,36405738
2019,36247367,1,36400823
2019,36255200,1,36405741
2019,36247375,1,36400831
2019,36255207,1,36405748
2019,36247376,3,36400832
2019,36247377,1,36400833
2019,36247378,1,36400834
2019,36255214,1,36405755
2019,36247379,1,36400835
2019,36247381,1,36400837
2019,36247380,1,36400836
2019,36247383,1,36400839
2019,33182307,1,33203729
2019,33182335,1,33203752
2019,33184283,1,33209023
2019,33182354,1,33203766
2019,33184310,1,33213314
2019,33189146,1,33209063
2019,33189155,1,33209070
2019,33189160,1,33209073
2019,33189162,1,33213344
2019,33184336,1,33213343
2019,33182432,1,33213421
2019,33182450,1,33203871
2019,33182449,1,33203870
2019,33184430,1,33203876
2019,33189248,1,33203891
2019,33184462,1,33213468
2019,33189267,1,33209175
2019,33184476,1,33213484
2019,33182426,1,33213418
2019,33182431,1,33203850
2019,33182434,1,33213422
2019,33184424,1,33203865
2019,33184427,1,33209140
2019,33184443,1,33203883
2019,33182466,1,33203892
2019,33182468,1,33203895
2019,33184461,1,33213465
2019,33182495,1,33213488
2019,33184478,1,33213487
2019,33184479,1,33213489
2019,33184477,1,33213486
2019,33184484,1,33209198
2019,33184487,1,33209203
2019,33189297,1,33209206
2019,33184491,1,33213497
2019,33182511,1,33203934
2019,33189312,1,33203939
2019,33182515,1,33209220
2019,33182295,1,33213225
2019,33189072,1,33208988
2019,33182302,1,33208992
2019,33189103,1,33209024
2019,33184293,1,33209039
2019,33182499,1,33203921
2019,33184497,1,33213502
2019,33184407,1,33213413
2019,33182440,1,33203857
2019,33189219,1,33209129
2019,33182457,7,33203880
2019,33182460,1,33213443
2019,33182480,1,33213471
2019,33189293,1,33209200
2019,33189081,1,33213254
2019,33184264,1,33209006
2019,34049482,1,34034947
2019,33189204,1,33203833
2019,33184419,1,33209131
2019,33189231,1,33203875
2019,33189238,1,33213440
2019,33184441,1,33213442
2019,33189259,1,33209166
2019,33182478,1,33203900
2019,33189265,1,33209173
2019,33182482,1,33203905
2019,33182491,1,33203912
2019,33182497,1,33203918
2019,33184245,1,33213241
2019,33184254,1,33208994
2019,33182312,1,33203734
2019,33189097,1,33209016
2019,33184277,1,33209018
2019,33189119,1,33209038
2019,33182347,1,33213300
2019,33189216,1,33203851
2019,33189224,1,33209135
2019,33189237,1,33203878
2019,33184442,1,33213445
2019,33184455,1,33213456
2019,33189282,1,33203915
2019,33182493,1,33203914
2019,33184501,1,33213504
2019,33182311,1,33208999
2019,33184273,1,33213273
2019,33182333,1,33209019
2019,33182334,1,33209020
2019,33182343,1,33209031
2019,33189142,1,33213319
2019,33184325,1,33213328
2019,33184330,1,33203780
2019,33189161,1,33213338
2019,33184334,1,33213341
2019,33184240,1,33213237
2019,33189086,1,33209002
2019,33184270,1,33213270
2019,33184287,1,33213285
2019,33182340,1,33203754
2019,33189145,1,33203771
2019,33189220,1,33213426
2019,33184420,1,33213427
2019,33182469,1,33213457
2019,33189256,1,33209163
2019,33189270,1,33209177
2019,33184469,1,33203904
2019,33182485,1,33209184
2019,33189283,1,33209190
2019,33182505,1,33203925
2019,33184492,1,33203932
2019,33184499,1,33209221
2019,33189254,1,33213455
2019,33184460,1,33213464
2019,33184463,1,33209174
2019,33184490,1,33213496
2019,33182508,1,33203929
2019,33189302,1,33209211
2019,33189093,1,33209010
2019,33182321,1,33203740
2019,33189107,1,33213287
2019,33182339,1,33203753
2019,33184324,1,33213327
2019,33182492,1,33203913
2019,33184496,1,33213501
2019,33184495,1,33213500
2019,34055852,1,34029984
2019,34052493,1,34022961
2019,34059585,1,34035039
2019,34056546,1,34030686
2019,36553095,1,36713866
2019,34049475,1,34034939
2019,34052503,1,34022970
2019,34052504,1,34022971
2019,34052506,1,34030004
2019,34052516,1,34022982
2019,34059509,1,34034976
2019,34052518,1,34022983
2019,34059513,1,34034980
2019,34056212,1,34030348
2019,34056213,1,34030349
2019,34052554,1,34023024
2019,34056215,1,34030352
2019,34059549,1,34035005
2019,34059551,1,34035006
2019,34059561,1,34035017
2019,34056528,1,34030668
2019,34052592,1,34023063
2019,34049493,1,34034960
2019,34055869,1,34029997
2019,34055868,1,34029996
2019,34059503,1,34022975
2019,34059505,1,34034972
2019,34055884,1,34030016
2019,34059507,1,34034973
2019,34055885,1,34030017
2019,34059508,1,34034974
2019,34055886,1,34030018
2019,34059510,1,34034977
2019,34059511,1,34034978
2019,34059512,1,34034979
2019,34055889,1,34030021
2019,34059514,1,34034981
2019,34055893,1,34030025
2019,34052540,1,34023006
2019,34059539,1,34034998
2019,34052555,1,34023026
2019,34059553,1,34035008
2019,34056219,1,34030356
2019,34052562,1,34023034
2019,34049487,1,34034952
2019,34049486,3,34034951
2019,34049488,1,34034953
2019,34049494,1,34034961
2019,34055870,1,34029999
2019,34052507,1,34022973
2019,34052508,1,34022974
2019,34052511,1,34022977
2019,34059506,1,34030014
