"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,148251187
2019,4,148246351
2019,4,148246349
2019,4,148246354
2019,4,148246373
2019,4,148256205
2019,4,148246385
2019,4,148246386
2019,1,148246318
2019,4,148246338
2019,3,148246344
2019,1,148246344
2019,4,148251191
2019,1,148246360
2019,1,148246359
2019,4,148256204
2019,3,148246368
2019,4,148251193
2019,4,148251194
2019,4,148251195
2019,4,148246372
2019,4,148246377
2019,4,148251201
2019,4,148246388
2019,4,148251205
2019,4,148246395
2019,4,145122311
2019,4,145126214
2019,3,148256186
2019,1,148256186
2019,4,148246333
2019,4,148246352
2019,4,148256199
2019,4,148251188
2019,4,148251189
2019,4,148251203
2019,1,146744694
2019,1,146744693
2019,4,148246311
2019,4,148256182
2019,3,148246320
2019,4,145126197
2019,4,145126196
2019,4,145126194
2019,4,145126210
2019,4,145126207
2019,4,145126209
2019,3,145126208
2019,4,145117342
2019,4,145126220
2019,4,145126219
2019,4,148246362
2019,4,148246363
2019,3,148246369
2019,1,148246369
2019,4,148246376
2019,1,148256207
2019,1,148246379
2019,4,148246394
2019,1,148246398
2019,4,148246406
2019,4,148251206
2019,4,148246409
2019,1,148246410
2019,4,148246411
2019,4,148251210
2019,4,148246425
2019,1,148246426
2019,4,148246424
2019,4,148246427
2019,4,148246436
2019,4,148251213
2019,4,148251212
2019,4,148246454
2019,4,148246460
2019,4,148246462
2019,4,148246465
2019,4,148246466
2019,4,148246476
2019,4,148246478
2019,4,148246477
2019,4,145117278
2019,4,145122303
2019,4,146747341
2019,4,146744669
2019,4,146744671
2019,4,146744670
2019,4,146744672
2019,3,146747370
2019,1,146747370
2019,4,146744714
2019,4,146744733
2019,4,146747387
2019,4,146747401
2019,4,146755940
2019,4,146747400
2019,4,146744749
2019,4,146744761
2019,4,146747343
2019,4,146747353
2019,4,146747354
2019,4,146744704
2019,4,146744707
2019,3,146744713
2019,4,146747378
2019,4,146747379
2019,4,146744734
2019,1,146747388
2019,1,146744739
2019,4,146744750
2019,4,146747406
2019,4,146744779
2019,2,146747415
2019,1,146747420
2019,3,146747423
2019,4,148256196
2019,4,148256195
2019,4,148256197
2019,4,148246367
2019,4,148251196
2019,4,148251204
2019,4,148246393
2019,4,148246404
2019,4,148256214
2019,3,148246415
2019,4,148246418
2019,4,148246417
2019,4,148246422
2019,4,148246432
2019,1,148246441
2019,1,148246440
2019,4,148246452
2019,4,148246451
2019,4,148246450
2019,4,148246453
2019,4,148251217
2019,4,148251219
2019,4,148251218
2019,4,148246481
2019,4,148246482
2019,1,148246483
2019,4,148251223
2019,4,148246486
2019,4,148246491
2019,4,148246497
2019,4,148246498
2019,4,148246496
2019,4,148251230
2019,4,148246506
2019,4,148246505
2019,4,148251237
2019,4,148246515
2019,4,148246522
2019,4,148246523
2019,4,148251242
2019,4,148251241
2019,4,148251244
2019,4,148246525
2019,4,148246529
2019,4,148251250
2019,4,146747330
2019,4,146744658
2019,3,146744664
2019,4,146744691
2019,4,146744690
2019,4,146755935
2019,4,146744702
2019,4,146744722
2019,4,146747374
2019,4,146755937
2019,4,146744752
2019,3,146744753
2019,4,146744755
2019,4,146744756
2019,4,146744758
2019,4,146744760
2019,4,146744763
2019,4,146744765
2019,4,146744764
2019,4,146744772
2019,4,146744777
2019,4,146744781
2019,4,146744786
2019,3,146744788
2019,4,146744792
2019,4,146744799
2019,4,146744800
2019,3,146744805
2019,4,146755947
2019,4,146744811
2019,4,146744812
2019,4,146744814
2019,4,146744820
2019,4,146744823
2019,4,146744827
2019,4,146744829
2019,4,146744831
2019,4,146744832
2019,4,146744834
2019,4,146744836
2019,4,146744838
2019,4,146744837
2019,4,146744839
2019,3,146755956
2019,3,146755955
2019,4,146744840
2019,4,146755961
2019,4,146744842
2019,4,146744846
2019,4,146744845
2019,4,146744848
2019,4,146744852
2019,4,146744853
2019,4,146744856
2019,4,146744857
2019,4,146744859
2019,4,146755968
2019,4,146755970
2019,4,146755969
2019,4,146744863
2019,4,146744864
2019,4,146744865
2019,4,146744870
2019,4,146744872
2019,4,146744873
2019,4,146744874
2019,4,146755974
2019,4,146744877
2019,4,146744879
2019,4,146744878
2019,4,146744883
2019,4,146744884
2019,4,146744887
2019,1,146744888
2019,1,146755979
2019,4,146744891
2019,4,146744897
2019,4,146755981
2019,4,146755980
2019,4,146744902
2019,4,146744899
2019,4,146744900
2019,4,146744901
2019,4,146755983
2019,4,146744910
2019,4,146744911
2019,4,146744913
2019,4,146744918
2019,4,146744919
2019,4,146744920
2019,4,146744933
2019,4,146744935
2019,4,146744936
2019,4,146755992
2019,4,146744940
2019,4,146744941
2019,4,146744943
2019,4,146744942
2019,4,146744944
2019,4,146744945
2019,4,145117283
2019,3,145117282
2019,4,145117379
2019,4,145117378
2019,4,145117381
2019,4,145117391
2019,4,145117397
2019,4,145117411
2019,4,145117412
2019,4,145117439
2019,3,145117442
2019,1,145117451
2019,4,146744946
2019,4,146744947
2019,4,146744948
2019,3,146744949
2019,3,146744952
2019,1,146744952
2019,3,146744951
2019,1,146744951
2019,4,146744953
2019,4,146744954
2019,4,146744955
2019,1,146744956
2019,4,146744957
2019,4,146744958
2019,4,146744959
2019,4,146744960
2019,4,146744961
2019,4,146744962
2019,1,146744963
2019,4,146744964
2019,4,146744965
2019,1,146744966
2019,1,146744967
2019,4,146755998
2019,4,146744969
2019,4,146744970
2019,4,146744971
2019,4,146756004
2019,4,146756005
2019,4,146744972
2019,4,146756008
2019,4,146744977
2019,4,146744978
2019,4,146744980
2019,4,146744981
2019,4,146744982
2019,4,146744983
2019,4,146756021
2019,4,146756020
2019,4,146756032
2019,4,146756033
2019,4,146744998
2019,1,145117296
2019,1,145117369
2019,4,145117368
2019,4,145117375
2019,4,145117376
2019,4,145117350
2019,4,145117356
2019,2,145117359
2019,4,145117366
2019,4,145117395
2019,4,145117399
2019,4,145117404
2019,4,145122325
2019,4,145117340
2019,4,145117347
2019,4,145117348
2019,4,145117346
2019,4,145122329
2019,4,145117363
2019,3,145117362
2019,4,145117367
2019,4,145117370
2019,4,145117392
2019,4,145117393
2019,4,145117418
2019,4,145117444
2019,4,145117446
2019,4,145117445
2019,4,145117450
2019,4,145117464
2019,1,145117465
2019,4,145117468
2019,4,145117485
2019,4,145117290
2019,4,145117357
2019,4,145117373
2019,1,145117384
2019,1,145117383
2019,1,145117382
2019,4,145117388
2019,4,145117407
2019,4,145117419
2019,4,145117426
2019,4,145117428
2019,4,145117429
2019,4,145117432
2019,4,145117449
2019,4,145117456
2019,4,145117460
2019,4,145117471
2019,1,145117477
2019,4,145117483
2019,4,145117481
2019,4,145117482
2019,4,145117486
2019,4,145117490
2019,4,145117495
2019,4,145117298
2019,1,145126211
2019,4,145122323
2019,4,145117321
2019,4,145117322
2019,4,145117374
2019,4,145117389
2019,4,145117390
2019,4,145117402
2019,4,145117403
2019,4,145117417
2019,4,145117433
2019,4,145117434
2019,4,145117435
2019,4,145117472
2019,4,145117473
2019,4,145117474
2019,4,145117475
2019,4,145117476
2019,4,145117480
2019,4,145117488
2019,4,145117487
2019,4,145117501
2019,4,145117500
2019,4,145117503
2019,1,145117504
2019,1,145117505
2019,4,145117506
2019,4,145117511
2019,1,145117287
2019,4,145117308
2019,3,145117310
2019,3,145117312
2019,3,145117311
2019,4,145117319
2019,4,145117318
2019,4,145117372
2019,4,145117371
2019,3,145122313
2019,4,145117337
2019,4,145117380
2019,4,145117385
2019,4,145117394
2019,4,145117400
2019,4,145117410
2019,4,145117409
2019,1,145117421
2019,1,145117420
2019,4,145117422
2019,4,145117424
2019,4,145117427
2019,4,145117431
2019,4,145117436
2019,4,145117437
2019,1,145117441
2019,1,145117440
2019,1,145117452
2019,4,145117466
2019,4,145117469
2019,4,145117478
2019,1,145117491
2019,4,145117499
2019,1,145117509
2019,4,145117510
2019,4,145117512
2019,4,145117513
2019,1,145117514
2019,1,145117515
2019,4,145117518
2019,4,145117517
2019,1,145117519
2019,4,145117521
2019,4,145117522
2019,4,145117523
2019,4,145117524
2019,4,145117525
2019,4,145117527
2019,4,145117528
2019,4,145117529
2019,4,145117538
2019,4,145117537
2019,4,145117544
2019,1,145117545
2019,4,145117547
2019,4,145117546
2019,4,145117555
2019,4,145117556
2019,4,145117557
2019,4,145117559
2019,4,145117560
2019,4,145117561
2019,3,145117567
2019,1,145117572
2019,1,145117573
2019,4,145117574
2019,4,145117306
2019,4,145117484
2019,4,145117494
2019,4,145117493
2019,4,145117531
2019,4,145117532
2019,4,145117534
2019,4,145117535
2019,4,145117536
2019,4,145117539
2019,4,145117543
2019,4,145117549
2019,4,145117548
2019,1,145117552
2019,4,145117553
2019,4,145117554
2019,4,145117565
2019,4,145117564
2019,4,145117570
2019,1,145117571
2019,1,145117576
2019,4,145117578
2019,4,145117585
2019,4,145117586
2019,4,145117592
2019,4,145117593
2019,4,145117596
2019,1,145117597
2019,1,145117598
2019,4,145117602
2019,4,145117601
2019,4,145117604
2019,4,145117603
2019,1,145117607
2019,1,145117608
2019,1,145117609
2019,1,145117610
2019,4,145117612
2019,4,145117611
2019,4,145117616
2019,4,145117618
2019,4,145117620
2019,4,145117621
2019,1,145117624
2019,4,145117627
2019,4,145117630
2019,4,145122314
2019,4,145122317
2019,4,145122315
2019,4,145122316
2019,4,145122324
2019,4,145117332
2019,3,145117351
2019,4,145117307
2019,4,145122319
2019,4,145122321
2019,4,145122320
2019,4,145117341
2019,4,145122345
2019,4,145122344
2019,1,146744668
2019,4,146744695
2019,4,146744696
2019,4,146744725
2019,4,146744723
2019,4,146747385
2019,4,146744731
2019,4,146744732
2019,4,146744737
2019,4,146744766
2019,4,146744774
2019,4,146744775
2019,4,146744776
2019,4,146744778
2019,4,146744790
2019,1,146744791
2019,4,146744793
2019,4,146747427
2019,4,146747428
