"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,8,146744795
2019,6,146755949
2019,9,146755959
2019,9,146744850
2019,8,146744868
2019,10,146744886
2019,9,146744896
2019,6,146755984
2019,9,146755986
2019,6,146744905
2019,9,146744928
2019,1,146755993
2019,3,146756000
2019,6,146756025
2019,6,146756024
2019,6,146756034
2019,6,146756035
2019,6,146745003
2019,2,146756057
2019,8,146756057
2019,6,146756057
2019,9,146756060
2019,5,146745023
2019,9,146745024
2019,6,146745044
2019,9,146756084
2019,6,146756091
2019,6,146756093
2019,6,146756096
2019,6,146756111
2019,9,146756127
2019,6,146756139
2019,6,146756138
2019,9,146756151
2019,6,146756160
2019,6,146756173
2019,6,146756174
2019,6,146756178
2019,8,146756179
2019,6,146745145
2019,6,146756188
2019,9,146756195
2019,7,146756197
2019,6,146756197
2019,6,146756207
2019,6,146756209
2019,9,146756228
2019,6,146756231
2019,9,146756272
2019,9,146756274
2019,6,146756281
2019,6,146756280
2019,9,146756284
2019,9,146756287
2019,8,146756298
2019,3,146756298
2019,9,146756302
2019,9,146756306
2019,6,146756307
2019,6,146756311
2019,8,146756315
2019,9,146756317
2019,6,146756338
2019,6,146756347
2019,6,146756350
2019,9,146756355
2019,9,146756357
2019,9,146756374
2019,9,146756386
2019,9,146756388
2019,6,146756389
2019,6,146756398
2019,6,146756399
2019,6,146756405
2019,6,146756404
2019,9,146756406
2019,6,146756408
2019,9,146756418
2019,6,146756427
2019,3,146756428
2019,6,146756430
2019,6,146756431
2019,6,146756434
2019,6,146756435
2019,9,146756445
2019,6,146756447
2019,6,146756454
2019,6,146756455
2019,8,146745476
2019,9,148256193
2019,9,148246347
2019,6,148246378
2019,6,148246383
2019,6,148246382
2019,6,148246348
2019,6,148246371
2019,9,148246317
2019,9,148246405
2019,9,148246499
2019,9,148251239
2019,9,148246533
2019,1,148246373
2019,6,148256205
2019,6,148251190
2019,9,148246400
2019,6,148256211
2019,6,148256199
2019,9,148246416
2019,9,148256202
2019,3,148246428
2019,9,148246366
2019,9,148246365
2019,10,148251191
2019,9,148246359
2019,1,148256204
2019,6,148246368
2019,6,148251193
2019,8,148251194
2019,9,148246377
2019,6,148246362
2019,6,148246363
2019,9,148246376
2019,9,148251210
2019,6,148246425
2019,9,148251212
2019,9,148246460
2019,9,148246477
2019,6,148256182
2019,6,148246320
2019,2,148246397
2019,9,148246439
2019,9,148251216
2019,9,148246493
2019,9,148246503
2019,3,148251182
2019,9,148246432
2019,9,148246441
2019,9,148251217
2019,9,148246486
2019,9,138500278
2019,9,138500443
2019,6,138500340
2019,9,138500368
2019,6,138500401
2019,6,138500400
2019,6,138500405
2019,6,138500404
2019,6,138500410
2019,6,138485568
2019,9,144125035
2019,9,144125034
2019,6,138500353
2019,9,138485501
2019,9,138494684
2019,6,138485525
2019,1,138485563
2019,6,138485563
2019,6,138485579
2019,9,138494737
2019,3,138485585
2019,6,138494744
2019,2,138485609
2019,9,138485628
2019,6,138485635
2019,6,138485636
2019,6,138485683
2019,6,138485694
2019,9,138485737
2019,6,138501960
2019,6,138501961
2019,6,138501962
2019,9,138501963
2019,3,138501967
2019,6,138501967
2019,9,138501976
2019,6,138501993
2019,6,138501998
2019,6,138501999
2019,6,138502000
2019,6,138502008
2019,6,138502017
2019,9,138502049
2019,9,138502062
2019,9,138502071
2019,6,138502074
2019,9,138502083
2019,6,138502084
2019,6,138502089
2019,8,138502091
2019,6,138502093
2019,6,138502094
2019,8,138502096
2019,9,138502098
2019,6,138502108
