"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,125007161,5
2019,125007165,5
2019,125007166,5
2019,125007167,4
2019,125007168,5
2019,125007178,5
2019,125007179,5
2019,125007180,4
2019,125007189,5
2019,125007192,4
2019,125007195,4
2019,125007198,4
2019,125007199,4
2019,125007200,5
2019,125007205,5
2019,125007207,5
2019,125007211,5
2019,125007212,5
2019,125007213,5
2019,125007214,5
2019,125007215,2
2019,125007215,3
2019,125007243,5
2019,125007247,5
2019,125007249,5
2019,125007248,4
2019,125007257,4
2019,125007261,5
2019,125007262,4
2019,125007270,4
2019,125007273,5
2019,125007274,4
2019,125007285,5
2019,125007287,5
2019,125007292,5
2019,125007295,4
2019,125007297,5
2019,125007304,4
2019,125007305,5
2019,125007308,8
2019,125007309,4
2019,125007310,4
2019,125007316,4
2019,125007329,5
2019,125007336,4
2019,125007346,4
2019,125007352,4
2019,125007353,4
2019,125007354,4
2019,125007366,5
2019,125007371,4
2019,125007375,5
2019,125007374,5
2019,125007378,4
2019,125007380,5
2019,125007388,4
2019,125007393,4
2019,125007394,5
2019,125007397,4
2019,125007396,4
2019,125007398,5
2019,125007399,5
2019,125007402,4
2019,125007410,5
2019,125007419,5
2019,125007425,5
2019,125007427,5
2019,125007428,5
2019,125007429,5
2019,125007430,5
2019,125007432,4
2019,125007435,5
2019,125007434,5
2019,125007437,4
2019,125007444,5
2019,125007447,4
2019,125007449,5
2019,125007452,5
2019,125007453,5
2019,125007455,4
2019,125007456,5
2019,125007457,4
2019,125007461,5
2019,125007464,4
2019,125007465,5
2019,125007485,5
2019,125007486,5
2019,125007487,4
2019,125007491,5
2019,125007492,4
2019,125007493,5
2019,125007496,5
2019,125007497,4
2019,125007500,4
2019,125007504,4
2019,125007505,4
2019,125007506,4
2019,125007509,4
2019,125007518,4
2019,125007519,5
2019,125007523,5
2019,125007526,5
2019,125007538,4
2019,125007552,5
2019,125007550,5
2019,125007549,5
2019,125007551,5
2019,125007548,5
2019,125007563,4
2019,125007565,5
2019,125007567,5
2019,125007568,5
2019,125007570,4
2019,125007572,5
2019,125007571,5
2019,125007574,4
2019,125007579,5
2019,125007581,4
2019,125007584,6
2019,125007592,5
2019,125007593,5
2019,125007594,5
2019,125007596,5
2019,125007599,4
2019,125007600,5
2019,125007605,5
2019,125007608,4
2019,125007615,5
2019,125007616,5
2019,125007617,4
2019,125007619,5
2019,125007629,4
2019,125007631,5
2019,125007642,5
2019,125007643,5
2019,125007644,5
2019,125007645,5
2019,125007647,5
2019,125007650,4
2019,125007651,4
2019,125007652,4
2019,125006885,5
2019,125014680,5
2019,125007661,5
2019,125007671,6
2019,125007673,5
2019,125007678,5
2019,125007679,5
2019,125007680,4
2019,125007683,5
2019,125007684,4
2019,125007685,5
2019,125007686,5
2019,125007689,4
2019,125007694,5
2019,125007701,5
2019,125007706,4
2019,125007707,5
2019,125007708,5
2019,125007712,4
2019,125007713,4
2019,125007716,4
2019,125007717,3
2019,125007726,4
2019,125007729,4
2019,125007731,4
2019,125007733,4
2019,125007735,4
2019,125007739,5
2019,125007748,5
2019,125007749,3
2019,125007750,5
2019,125007752,5
2019,125007756,4
2019,125007757,5
2019,125007758,4
2019,125007762,4
2019,125007764,4
2019,125007767,2
2019,125007767,4
2019,125007787,5
2019,125007795,5
2019,125007798,5
2019,125007799,4
2019,125007800,4
2019,125007801,4
2019,125007802,4
2019,125007803,4
2019,125007805,4
2019,125007806,4
2019,125007811,4
2019,125007812,5
2019,125007814,4
2019,125007815,4
2019,125007816,4
2019,125007826,5
2019,125007830,4
2019,125007835,5
2019,125007834,4
2019,125007850,4
2019,125007853,5
2019,125007859,5
2019,125007864,4
2019,125007867,4
2019,125022883,4
2019,125022885,5
2019,125022886,4
2019,125022887,5
2019,125022891,4
2019,125022894,4
2019,125022898,5
2019,125022922,5
2019,125022923,6
2019,125022924,5
2019,125022928,4
2019,125022929,5
2019,125022930,5
2019,125022934,5
2019,125022933,4
2019,125022945,5
2019,125022944,4
2019,125022948,5
2019,125022949,5
2019,125022958,5
2019,125022962,4
2019,125022966,5
2019,125022967,5
2019,125022970,4
2019,125022974,4
2019,125022975,4
2019,125022977,4
2019,125022985,5
2019,125022986,5
2019,125022987,4
2019,125022991,5
2019,125022992,4
2019,125022993,5
2019,125022996,4
2019,125023001,5
2019,125023000,5
2019,125023004,5
2019,125023005,4
2019,125023006,5
2019,125023010,5
2019,125023012,4
2019,125023017,4
2019,125023018,4
2019,125023038,5
2019,125023102,5
2019,125014668,5
2019,126812873,4
2019,126812891,4
2019,126812880,5
2019,126812892,4
2019,126817580,5
2019,126817579,5
2019,126817578,5
2019,126817600,4
2019,126822943,4
2019,126821662,5
2019,126821666,5
2019,126821679,4
2019,126821689,5
2019,126812883,4
2019,130242152,5
2019,126822928,4
2019,128261359,4
2019,128261361,5
2019,128261363,4
2019,128261374,5
2019,128261379,4
2019,128261381,5
2019,128261382,5
2019,128261385,5
2019,128261395,4
2019,128261396,5
2019,128261400,5
2019,128261407,5
2019,128261415,5
2019,128261414,5
2019,128261434,4
2019,128261435,4
2019,128261438,5
2019,128261453,5
2019,128261465,5
2019,128261468,5
2019,128261481,5
2019,128261495,5
2019,128262453,4
2019,128262459,4
2019,128262465,5
2019,128262469,4
2019,128262472,4
2019,128262471,4
2019,128262480,5
2019,128262484,5
2019,128262488,5
2019,128262608,5
2019,126828392,4
2019,126828397,5
2019,126828402,4
2019,126828414,2
2019,126828414,4
2019,126828415,4
2019,126828418,4
2019,126828434,5
2019,126828456,5
2019,126828458,5
2019,126828469,4
2019,126828473,4
2019,126828474,4
2019,126828475,4
2019,126828476,5
2019,126828487,5
2019,126828504,4
2019,126828509,4
2019,126828514,4
2019,126828524,4
2019,126828529,5
2019,126828528,5
2019,126828533,4
2019,126828535,2
2019,126828538,4
2019,126828544,5
2019,126828547,4
2019,126828553,4
2019,126828554,5
2019,126828555,4
2019,126828586,4
2019,126828590,5
2019,126828593,4
2019,126828596,5
2019,126828603,5
2019,126828615,5
2019,126828616,5
2019,126828618,4
2019,126828619,5
2019,126828625,5
2019,126828624,5
2019,126828630,5
2019,126828636,4
2019,126828638,5
2019,126828654,5
2019,126828655,4
2019,126828662,4
2019,126828665,5
2019,126828664,5
2019,126828667,4
2019,126828668,4
2019,126828669,4
2019,126828674,4
2019,126828676,5
2019,126828679,4
2019,126828682,5
2019,126828683,4
2019,126828690,4
2019,126828694,4
2019,126828693,5
2019,126828699,4
2019,126828701,4
2019,126828704,4
2019,126828706,5
2019,126828709,4
2019,126828713,4
2019,126828714,4
2019,126828715,5
2019,126828716,4
2019,126828717,4
2019,126828718,5
2019,126828719,4
2019,126828720,4
2019,126828724,4
2019,126828725,4
2019,126828726,5
2019,126828728,4
2019,126828729,5
2019,126828730,4
2019,126828735,4
2019,126828736,4
2019,126828738,2
2019,126828739,4
2019,126828740,5
2019,126828741,4
2019,126828742,5
2019,126828744,4
2019,126828747,4
2019,126828752,5
2019,126828753,5
2019,126828755,5
2019,126828754,4
2019,126828763,5
2019,126828767,5
2019,126828768,5
2019,126828772,5
2019,126828773,4
2019,126828774,4
2019,126828778,5
2019,126828785,5
2019,126828790,5
2019,126828792,5
2019,126828806,5
2019,126828805,4
2019,126828808,4
2019,126828809,4
2019,126828810,4
2019,126828811,4
2019,126828814,5
2019,126828815,5
2019,126828816,5
2019,126828817,4
2019,126828818,5
2019,126828828,5
2019,126828830,5
2019,126828832,4
2019,126828843,5
2019,126828845,5
2019,126828846,4
2019,126828849,4
2019,126828850,4
2019,126828851,4
2019,126828860,5
2019,126828862,5
2019,126828866,4
2019,126828868,4
2019,126828869,4
2019,126828895,4
2019,126828897,5
2019,126828904,5
2019,126828905,5
2019,126828907,5
2019,126828916,5
2019,126828915,5
2019,126828919,4
2019,126828920,4
2019,126828945,5
2019,126828949,4
2019,126828953,4
2019,126828954,4
2019,126828956,4
2019,126828959,4
2019,126828961,4
2019,126828971,4
2019,126829019,5
2019,126829018,5
2019,126829021,4
2019,126829022,5
2019,126829023,5
2019,126829024,4
2019,126829026,1
2019,126829028,5
2019,126829029,4
2019,126829030,5
2019,126829032,5
2019,126829031,4
2019,126829034,5
2019,126829035,4
2019,126829036,4
2019,126829050,4
2019,126829051,4
2019,126829053,5
2019,126829055,4
2019,126829056,5
2019,126829059,1
2019,126829063,4
2019,126829066,5
2019,126829075,6
2019,126829074,6
2019,126829076,4
2019,126829077,5
2019,126829078,1
2019,126829083,5
2019,126829084,4
2019,126829085,5
2019,126829088,4
2019,126829087,4
2019,126829091,4
2019,126829094,1
2019,126829094,4
2019,126829109,5
2019,126829113,5
2019,126829112,5
2019,126829116,5
2019,126829115,5
2019,126829118,5
2019,126829119,5
2019,126829124,4
2019,126829129,5
2019,126829132,4
2019,126829133,5
2019,126829151,4
2019,126829153,5
2019,126829152,5
2019,126829169,5
2019,126829168,5
2019,126829178,5
2019,126829183,4
2019,126829186,3
2019,126829187,4
2019,126829188,4
2019,126829194,5
2019,126829197,5
2019,126829201,4
2019,126829203,4
2019,126829205,5
2019,126829208,6
2019,126829217,5
2019,126829234,5
2019,126829242,5
2019,126829250,5
2019,126829255,5
2019,126829263,4
2019,126829272,4
2019,126829276,4
2019,126829281,4
2019,126829328,5
2019,126829345,4
2019,126829346,4
2019,126829355,5
2019,126829356,5
2019,126829371,5
2019,126829372,5
2019,126829388,5
2019,126829399,4
2019,126829402,5
2019,126829403,5
2019,126829435,5
2019,130249635,5
2019,130249634,5
2019,130242176,5
2019,130242179,5
2019,130242180,5
2019,130242178,5
2019,125002062,4
2019,125002112,4
2019,125014569,5
2019,125006766,4
2019,125014575,5
2019,125014584,5
2019,125002143,4
2019,125014593,4
2019,125014591,4
2019,125014603,5
2019,125014604,5
2019,125014653,4
2019,125014663,4
2019,125006699,4
2019,125014534,4
2019,125014685,4
2019,125019806,4
2019,125019790,5
2019,125001968,5
2019,125014644,5
2019,125014645,5
2019,125014560,4
2019,125014564,5
2019,125014566,5
2019,125014581,4
2019,125002157,5
2019,125006814,4
2019,125006811,4
2019,125014641,4
2019,125014650,4
2019,125014655,4
2019,125018488,5
2019,134456725,5
2019,134456726,5
2019,134456729,5
2019,134457917,5
2019,126817559,4
2019,126817566,4
2019,126817565,4
2019,126817564,5
2019,126821691,3
2019,126821722,4
2019,126821812,4
2019,126821815,5
2019,126821819,4
2019,126821822,4
2019,126821838,5
2019,126821842,4
2019,126821880,4
2019,126821893,5
2019,126821892,5
2019,126817718,5
2019,126821895,4
2019,126821903,4
2019,126821915,5
2019,126821928,5
2019,126821947,5
2019,126822008,5
2019,126822010,4
2019,126822012,5
2019,126822026,4
2019,126822032,5
2019,126822046,5
2019,126822045,5
2019,126822044,5
2019,126822043,5
2019,126822080,6
2019,126822085,4
2019,126822129,1
2019,125014515,5
2019,125014514,5
2019,125006821,4
2019,125006684,5
2019,125006880,4
2019,125006828,5
2019,125018480,5
2019,125006830,5
2019,125014638,5
2019,125006826,5
2019,125006831,5
2019,125014637,5
2019,125006839,5
2019,125006843,5
2019,125014658,4
2019,125014657,5
2019,125006853,4
2019,125006855,4
2019,125006856,5
2019,129256322,5
2019,129258205,5
2019,129256341,2
2019,125006698,5
