"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,142129323
2019,21,142129384
2019,21,142129383
2019,21,142129430
2019,21,142129437
2019,21,142129453
2019,21,142129470
2019,21,142129475
2019,21,142129478
2019,21,142129473
2019,21,142129479
2019,21,142129483
2019,21,142129485
2019,21,142129487
2019,21,142129488
2019,21,142129496
2019,21,142129505
2019,21,142129506
2019,21,142129542
2019,21,142129553
2019,21,142129566
2019,21,142129583
2019,21,142129605
2019,21,142129609
2019,21,142129608
2019,21,142129618
2019,21,142129619
2019,21,142129632
2019,21,142129640
2019,21,142129661
2019,21,142129666
2019,21,142129669
2019,21,142129677
2019,21,142129676
2019,21,142129680
2019,21,142129692
2019,21,142129699
2019,21,142129701
2019,21,142129700
2019,21,142129704
2019,21,142129710
2019,21,142129708
2019,21,142129706
2019,21,142129714
2019,21,142129719
2019,21,142129722
2019,21,142129729
2019,21,142129731
2019,21,142129730
2019,21,142129744
2019,21,142129747
2019,21,142129757
2019,21,142129762
2019,21,142129765
2019,21,142129770
2019,21,142129773
2019,21,142129772
2019,21,142129782
2019,21,142129781
2019,21,142129788
2019,21,142129792
2019,21,142129793
2019,21,142129797
2019,21,142129804
2019,21,142129808
2019,21,142129813
2019,21,142129815
2019,22,142129818
2019,21,142129819
2019,21,142129829
2019,21,142129832
2019,21,142129834
2019,21,142129841
2019,21,142129842
2019,21,142129845
2019,21,142129848
2019,21,142129853
2019,21,142129854
2019,21,142129857
2019,21,142129864
2019,21,142129872
2019,21,142129873
2019,21,142129881
2019,21,142129883
2019,21,142129888
2019,21,142129886
2019,21,142129892
2019,21,142129898
2019,21,142129899
2019,21,142129910
2019,21,142129909
2019,21,142129911
2019,21,142129913
2019,21,142129914
2019,21,142129915
2019,21,142129916
2019,21,142129918
2019,21,142129917
2019,21,142129926
2019,21,142129929
2019,21,142129931
2019,21,142129933
2019,21,142129934
2019,21,142129935
2019,21,142129938
2019,21,142129939
2019,21,142129944
2019,21,142129946
2019,21,142129947
2019,21,142129949
2019,21,142129951
2019,21,142129952
2019,21,142129953
2019,21,142129957
2019,21,142129956
2019,21,142129959
2019,21,142129962
2019,21,142129961
2019,21,142129960
2019,21,142129964
2019,21,142129965
2019,21,142129968
2019,21,142129970
2019,21,142129972
2019,21,142129973
2019,21,142129975
2019,21,142129979
2019,21,142129983
2019,21,142129982
2019,21,142129981
2019,21,142129985
2019,21,142129988
2019,21,142129986
2019,21,142129987
2019,21,142129990
2019,21,142129991
2019,21,142129993
2019,21,142129994
2019,21,142129995
2019,21,142129996
2019,21,142129997
2019,21,142129999
2019,21,142130001
2019,21,142130002
2019,21,142130003
2019,21,142130008
2019,21,142130007
2019,21,142130009
2019,21,142130012
2019,21,142130014
2019,21,142130015
2019,21,142130019
2019,21,142130020
2019,21,142130021
2019,21,142130023
2019,21,142130024
2019,21,142130025
2019,21,142130028
2019,21,142130030
2019,21,142130031
2019,21,142130035
2019,21,142130036
2019,21,142130037
2019,21,142130039
2019,21,142130041
2019,21,142130044
2019,21,142130046
2019,21,142130051
2019,21,142130050
2019,21,142131010
2019,21,142131012
2019,21,142131013
2019,21,142131014
2019,21,142131015
2019,21,142131017
2019,21,142131016
2019,21,142131018
2019,21,142131019
2019,21,142131020
2019,21,142131021
2019,21,142131022
2019,21,142131023
2019,21,142131025
2019,21,142131026
2019,21,142131027
2019,21,142131029
