"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,122692705,1,
2019,129256403,10,
2019,129257044,1,
2019,125006838,10,
2019,128261023,10,
2019,122696216,10,
2019,132934115,1,
2019,132934193,9,
2019,125018851,1,
2019,118155507,1,
2019,118155634,8,
2019,131329057,1,
2019,131329849,10,
2019,132939001,10,
2019,132938631,10,
2019,128261297,1,
2019,128262024,1,
2019,128261438,1,
2019,130253356,9,
2019,125002219,9,
2019,125007548,9,
2019,125022945,1,
2019,122692284,10,
2019,122689422,1,
2019,129257159,6,
2019,126821857,6,
2019,118161789,6,
2019,132934279,10,
2019,130249668,10,
2019,118158583,10,
2019,122689421,10,
2019,126828340,1,
2019,126828367,1,
2019,129263495,1,
2019,125006756,1,
2019,118155811,10,
2019,131329249,1,
2019,131329648,10,
2019,131328816,1,
2019,128260949,1,
2019,128262129,9,
2019,129258214,1,
2019,126822943,1,
2019,130242278,9,
2019,130242441,1,
2019,125002183,10,
2019,125002575,1,
2019,125002604,1,
2019,125007215,1,
2019,125007608,1,
2019,129256460,10,
2019,126817749,10,
2019,126822088,1,
2019,132933799,4,
2019,132933904,1,
2019,132934044,10,
2019,122696256,10,
2019,122689168,10,
2019,126829075,10,
2019,125018499,1,
2019,125019660,1,
2019,131329874,10,
2019,128262037,1,
2019,128262379,1,
2019,128260831,1,
2019,125014581,1,
2019,125014581,6,
2019,130247524,10,
2019,134456833,1,
2019,130242453,10,
2019,130242682,10,
2019,134456909,1,
2019,125019830,1,
2019,125007135,6,
2019,125007526,9,
2019,125007605,9,
2019,129256462,10,
2019,128260828,1,
2019,126822105,1,
2019,122692852,6,
2019,122692117,10,
2019,126817826,1,
2019,126827919,1,
2019,126828045,9,
2019,126829133,9,
2019,126821766,9,
2019,125018713,1,
2019,122689281,6,
2019,122692629,6,
2019,122692629,1,
2019,132938489,1,
2019,132938526,10,
2019,131329646,10,
2019,132938743,10,
2019,129263348,10,
2019,128261767,10,
2019,128262029,1,
2019,130242186,1,
2019,134462983,1,
2019,125002307,1,
2019,125002835,10,
2019,125018164,10,
2019,125006901,1,
2019,125006901,6,
2019,125007143,10,
2019,125023010,1,
2019,122696307,1,
2019,129256359,8,
2019,125002099,17,
2019,126821987,1,
2019,118155525,10,
2019,130249647,10,
2019,126829059,1,
2019,131322821,6,
2019,125019628,1,
2019,122692306,10,
2019,122692371,10,
2019,122689199,1,
2019,122689393,10,
2019,131329213,10,
2019,131329547,10,
2019,131328827,10,
2019,132934030,10,
2019,132933801,1,
2019,128261567,1,
2019,128262285,10,
2019,134456790,2,
2019,125002379,10,
2019,125017888,1,
2019,125006895,1,
2019,125006919,1,
2019,125007287,1,
2019,125007353,1,
2019,125022996,10,
2019,129256582,1,
2019,129256604,1,
2019,129257106,10,
2019,129256351,1,
2019,129256358,9,
2019,128261145,1,
2019,130242178,1,
2019,122696380,1,
2019,132934204,6,
2019,132934204,1,
2019,122689647,1,
2019,126817606,4,
2019,126828092,10,
2019,125019212,10,
2019,125019216,1,
2019,125019217,10,
2019,118158358,1,
2019,122689481,6,
2019,118155579,1,
2019,122685957,1,
2019,122692126,9,
2019,118155633,8,
2019,118158357,1,
2019,132938440,6,
2019,131329211,10,
2019,131329357,10,
2019,131329647,10,
2019,129263347,10,
2019,128261893,1,
2019,129258274,10,
2019,126817578,1,
2019,134456878,1,
2019,125018053,1,
2019,125019826,10,
2019,125006974,1,
2019,125007056,1,
2019,125007815,1,
2019,125022986,1,
2019,122696143,1,
2019,129256989,10,
2019,129256357,9,
2019,118161572,2,
2019,122689949,10,
2019,122689472,9,
2019,122696412,10,
2019,126817821,9,
2019,126829168,10,
2019,129263507,10,
2019,131322842,1,
2019,131322881,10,
2019,125019516,10,
2019,118155682,10,
2019,118155474,10,
2019,118155471,6,
2019,118155466,1,
2019,118155466,6,
2019,131329446,10,
2019,131328828,10,
2019,129258222,1,
2019,128261616,1,
2019,128261616,6,
2019,128262439,10,
2019,134456807,10,
2019,134456883,10,
2019,134456838,1,
2019,130242280,1,
2019,130242766,6,
2019,130252936,10,
2019,130252938,10,
2019,125002603,1,
2019,125019863,1,
2019,125007035,6,
2019,122689258,10,
2019,122685896,1,
2019,129256461,10,
2019,129256962,9,
2019,132938334,1,
2019,118161544,10,
2019,132934191,1,
