DATA_YEAR_x,ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID_x,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,DATA_YEAR_y,OFFENSE_ID,OFFENSE_TYPE_ID_y,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
2019,36564663,119775503,1,2019-11-06,autumn,2,N,16,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117726,16,C,41,,,School-Elementary/Secondary
2019,36564663,119775503,1,2019-11-06,autumn,2,N,16,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117727,35,C,41,,,School-Elementary/Secondary
2019,36564664,119775503,2,2019-11-06,autumn,2,N,16,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117726,16,C,41,,,School-Elementary/Secondary
2019,36564664,119775503,2,2019-11-06,autumn,2,N,16,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117727,35,C,41,,,School-Elementary/Secondary
2019,36564668,119775518,1,2019-11-07,autumn,2,N,16,5,16,M,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117745,16,C,41,,,School-Elementary/Secondary
2019,36564669,119775522,1,2019-11-07,autumn,2,N,16,5,16,F,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117749,16,C,41,,,School-Elementary/Secondary
2019,36564671,119775528,1,2019-11-07,autumn,2,N,16,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117757,39,C,41,,,School-Elementary/Secondary
2019,36564671,119775528,1,2019-11-07,autumn,2,N,16,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117756,16,C,41,,,School-Elementary/Secondary
2019,36564672,119775531,1,2019-11-07,autumn,2,N,16,5,13,M,2,2,N,R,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117760,16,C,41,,,School-Elementary/Secondary
2019,36564683,119775563,1,2019-11-08,autumn,2,N,16,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117798,16,C,41,,,School-Elementary/Secondary
2019,36564720,119775722,1,2019-11-15,autumn,2,N,16,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145117994,16,C,41,,,School-Elementary/Secondary
2019,36564742,119775798,1,2019-11-18,autumn,2,N,16,5,14,M,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118091,16,C,41,,,School-Elementary/Secondary
2019,36564743,119775798,2,2019-11-18,autumn,2,N,16,5,14,M,1,1,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118091,16,C,41,,,School-Elementary/Secondary
2019,36564748,119775829,1,2019-11-19,autumn,2,N,16,5,15,F,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118128,16,C,41,,,School-Elementary/Secondary
2019,36564749,119775830,1,2019-11-18,autumn,2,N,16,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118129,16,C,41,,,School-Elementary/Secondary
2019,36564766,119775929,1,2019-11-22,autumn,2,N,16,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118249,16,C,41,,,School-Elementary/Secondary
2019,36564786,119776000,1,2019-11-25,autumn,2,N,16,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,145118338,16,C,41,,,School-Elementary/Secondary
2019,36255246,118892349,1,2019-10-08,autumn,2,N,16,5,13,M,1,2,R,R,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125404,16,C,41,,,School-Elementary/Secondary
2019,36255248,118892357,1,2019-10-07,autumn,2,N,16,5,12,M,2,2,R,R,,12,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125414,16,C,41,,,School-Elementary/Secondary
