ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
36564668,119775518,1,autumn,2,N,5,16,M,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117745,C,41,,,School-Elementary/Secondary
36564669,119775522,1,autumn,2,N,5,16,F,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117749,C,41,,,School-Elementary/Secondary
36564671,119775528,1,autumn,2,N,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117757,C,41,,,School-Elementary/Secondary
36564671,119775528,1,autumn,2,N,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117756,C,41,,,School-Elementary/Secondary
36564672,119775531,1,autumn,2,N,5,13,M,2,2,N,R,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117760,C,41,,,School-Elementary/Secondary
36564683,119775563,1,autumn,2,N,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117798,C,41,,,School-Elementary/Secondary
36564720,119775722,1,autumn,2,N,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145117994,C,41,,,School-Elementary/Secondary
36564742,119775798,1,autumn,2,N,5,14,M,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118091,C,41,,,School-Elementary/Secondary
36564743,119775798,2,autumn,2,N,5,14,M,1,1,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118091,C,41,,,School-Elementary/Secondary
36564748,119775829,1,autumn,2,N,5,15,F,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118128,C,41,,,School-Elementary/Secondary
36564749,119775830,1,autumn,2,N,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118129,C,41,,,School-Elementary/Secondary
36564766,119775929,1,autumn,2,N,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118249,C,41,,,School-Elementary/Secondary
36564786,119776000,1,autumn,2,N,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,145118338,C,41,,,School-Elementary/Secondary
36255246,118892349,1,autumn,2,N,5,13,M,1,2,R,R,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125404,C,41,,,School-Elementary/Secondary
36255248,118892357,1,autumn,2,N,5,12,M,2,2,R,R,,12,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125414,C,41,,,School-Elementary/Secondary
36255261,118892398,1,autumn,2,N,5,12,F,2,2,R,H,,12,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125469,C,41,,,School-Elementary/Secondary
31981047,107364821,1,winter,2,N,5,15,F,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757109,C,41,,,School-Elementary/Secondary
31981047,107364821,1,winter,2,N,5,15,F,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757110,C,41,,,School-Elementary/Secondary
31981046,107364816,1,winter,2,N,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757105,C,41,,,School-Elementary/Secondary
33182445,111314604,1,winter,2,N,5,17,M,1,3,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130682,C,41,,,School-Elementary/Secondary
31981061,107364875,1,winter,2,N,5,18,M,1,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757169,C,41,,,School-Elementary/Secondary
31981061,107364875,1,winter,2,N,5,18,M,1,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131757168,C,41,,,School-Elementary/Secondary
36255369,118892811,1,autumn,2,N,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125972,C,41,,,School-Elementary/Secondary
36255370,118892821,1,autumn,2,N,5,16,M,2,2,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125983,C,41,,,School-Elementary/Secondary
36255377,118892846,1,autumn,2,N,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144126014,C,41,,,School-Elementary/Secondary
36255385,118892895,1,autumn,2,N,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144126068,C,41,,,School-Elementary/Secondary
